schema_version,message_type,device_id,site_id,location,machine_type,cycle_id,cycle_started_at,cycle_ended_at,cycle_duration_ms,cycle_completeness,cycle_abort_reason,ops_phase_extend_duration_ms,ops_phase_dwell_duration_ms,ops_phase_retract_duration_ms,di_start_forward_edges,di_e_stop_triggered,di_overload_trip,di_door_open_events,di_gate_open_events,di_valve_extend_feedback_ok,di_valve_retract_feedback_ok,electrical_avg_current_rms_phase_a_a,electrical_avg_current_rms_phase_b_a,electrical_avg_current_rms_phase_c_a,electrical_peak_current_rms_phase_a_a,electrical_peak_current_rms_phase_b_a,electrical_peak_current_rms_phase_c_a,electrical_current_imbalance_pct_avg,electrical_current_imbalance_pct_max,electrical_avg_voltage_rms_ab_v,electrical_avg_voltage_rms_bc_v,electrical_avg_voltage_rms_ca_v,electrical_voltage_imbalance_pct_avg,electrical_voltage_imbalance_pct_max,electrical_inrush_current_peak_a,electrical_inrush_duration_ms,electrical_power_factor_avg,electrical_power_factor_min,electrical_time_below_pf_0p8_ms,energy_active_kwh,energy_reactive_kvarh,energy_apparent_kvah,energy_per_cycle_kwh,hydraulic_max_pressure_psi,hydraulic_avg_pressure_psi,hydraulic_pressure_rise_time_ms,hydraulic_max_dp_dt_psi_per_s,hydraulic_pressure_overshoot_pct,hydraulic_stall_signature_flag,thermal_oil_temp_start_c,thermal_oil_temp_end_c,thermal_oil_temp_delta_c,thermal_cold_start_flag,productivity_bale_count_increment,productivity_utilization_last_hour_pct,health_cycle_time_drift_pct,health_peak_current_drift_pct,health_pressure_capability_drift_pct,health_anomaly_score,health_attention_flag,calc_baseline_window_cycles,firmware_version,device_age_years,device_performance_profile
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115095357_0011,2024-01-15T09:53:57.673823Z,2024-01-15T10:04:11.962823Z,614289,True,,231752,62699,198850,1,False,False,0,0,True,True,45.63,45.11,50.84,114.07,112.78,127.11,12.14,18.21,477.75,482.09,476.36,1.2,1.44,152.53,188,0.834,0.734,0,17.558,11.6,21.044,17.558,3630.9,2723.2,2366,1534.6,1.3,False,53.5,69.7,16.1,False,1,61.8,1.28,-3.06,-2.57,0.079,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115100803_0012,2024-01-15T10:08:03.746725Z,2024-01-15T10:17:51.006725Z,587260,True,,223500,57907,204711,1,False,False,0,0,True,True,46.17,48.64,48.62,115.42,121.61,121.54,5.18,7.77,481.77,470.6,484.83,2.97,3.57,145.93,209,0.827,0.727,0,16.987,11.566,20.551,16.987,3612.3,2709.2,1695,2131.1,4.2,False,54.0,69.4,15.4,False,1,65.4,-0.89,2.0,-2.17,0.027,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115103719_0013,2024-01-15T10:37:19.934329Z,2024-01-15T10:46:58.118329Z,578184,True,,217278,61004,190076,1,False,False,0,0,True,True,53.54,46.16,43.55,133.85,115.41,108.87,20.92,31.38,478.28,480.92,482.89,0.96,1.15,160.62,218,0.866,0.766,0,17.377,10.026,20.062,17.377,3592.0,2694.0,1575,2280.6,2.8,False,53.6,68.8,15.2,False,1,63.5,-1.89,4.8,-1.95,0.003,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115110256_0014,2024-01-15T11:02:56.750040Z,2024-01-15T11:12:30.247040Z,573497,True,,215522,53162,188587,2,False,False,0,0,True,True,48.61,47.22,49.77,121.53,118.05,124.42,5.25,7.87,495.94,480.42,484.86,3.19,3.82,149.31,229,0.869,0.769,0,18.23,10.368,20.972,18.23,3552.7,2664.5,2395,1483.4,3.2,False,58.1,73.1,15.1,False,1,77.0,1.77,0.73,-2.23,0.162,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115112927_0015,2024-01-15T11:29:27.299305Z,2024-01-15T11:39:23.741305Z,596442,True,,231951,58306,193976,1,False,False,0,0,True,True,46.94,47.86,43.56,117.35,119.65,108.91,9.32,13.97,485.58,474.22,487.85,2.82,3.39,143.58,239,0.839,0.739,0,17.028,11.041,20.294,17.028,3576.1,2682.1,2402,1488.8,0.6,False,56.9,72.6,15.7,False,1,78.4,2.35,3.03,-1.31,0.035,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115115509_0016,2024-01-15T11:55:09.368352Z,2024-01-15T12:05:34.344352Z,624976,True,,237386,62732,214192,1,False,False,0,0,True,True,46.42,52.85,46.88,116.05,132.13,117.19,13.21,19.81,477.96,481.31,480.06,0.7,0.84,158.56,261,0.844,0.744,0,18.659,11.86,22.109,18.659,3579.8,2684.8,1518,2358.2,1.9,False,56.9,73.3,16.4,False,1,62.0,4.05,-4.09,-1.08,0.19,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115122443_0017,2024-01-15T12:24:43.963642Z,2024-01-15T12:34:00.816642Z,556853,True,,222066,53673,179082,1,False,False,0,0,True,True,50.51,50.2,46.1,126.27,125.49,115.24,9.01,13.52,479.96,469.55,488.85,4.03,4.83,151.52,224,0.817,0.717,0,16.228,11.466,19.87,16.228,3564.3,2673.2,1573,2265.9,4.2,False,55.1,69.7,14.6,False,1,69.8,-2.77,-1.03,2.35,0.029,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115124544_0018,2024-01-15T12:45:44.409334Z,2024-01-15T12:55:27.615334Z,583206,True,,226921,58795,192329,2,False,False,0,0,True,True,49.57,42.97,51.4,123.93,107.41,128.51,17.59,26.38,479.18,489.3,487.39,2.09,2.5,154.21,239,0.838,0.738,0,17.072,11.115,20.371,17.072,3593.4,2695.1,1672,2149.2,0.1,False,53.2,68.6,15.3,False,1,70.7,-4.44,-3.81,-2.29,0.13,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115131108_0019,2024-01-15T13:11:08.581111Z,2024-01-15T13:20:46.718111Z,578137,True,,221700,59193,190224,1,False,False,0,0,True,True,48.4,51.15,49.62,121.01,127.86,124.04,5.51,8.27,480.27,491.38,482.03,2.29,2.75,153.44,163,0.834,0.734,0,17.503,11.559,20.975,17.503,3649.6,2737.2,2065,1767.4,2.9,False,54.8,70.0,15.2,False,1,73.5,-2.23,-3.12,-0.22,0.071,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115133342_0020,2024-01-15T13:33:42.047345Z,2024-01-15T13:43:52.736345Z,610689,True,,233770,64821,207806,1,False,False,0,0,True,True,46.46,50.42,52.62,116.16,126.05,131.56,12.36,18.54,483.5,479.34,479.63,0.87,1.04,157.87,214,0.853,0.753,0,19.071,11.667,22.357,19.071,3648.5,2736.4,2278,1601.6,3.0,False,54.4,70.5,16.0,False,1,69.0,4.7,3.42,2.03,0.094,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115225932_0021,2024-01-15T22:59:32.914073Z,2024-01-15T23:09:24.587073Z,591673,True,,234393,59806,197697,1,False,False,0,0,True,True,50.97,50.63,44.14,127.42,126.58,110.36,14.05,21.07,476.81,476.72,476.1,0.15,0.18,152.9,153,0.828,0.728,0,17.239,11.68,20.823,17.239,3617.2,2712.9,2299,1573.4,0.2,False,50.0,65.6,15.5,False,1,77.5,-1.92,3.16,2.81,0.018,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115232552_0022,2024-01-15T23:25:52.241269Z,2024-01-15T23:35:25.593269Z,573352,True,,204829,56025,193608,1,False,False,0,0,True,True,51.83,48.9,50.6,129.58,122.24,126.51,5.82,8.74,480.27,481.2,484.12,0.8,0.96,155.5,201,0.86,0.76,0,18.144,10.778,21.104,18.144,3595.1,2696.3,1834,1960.2,2.0,False,61.1,76.2,15.1,False,1,73.6,3.62,4.5,-2.12,0.185,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240115234647_0023,2024-01-15T23:46:47.551888Z,2024-01-15T23:56:40.472888Z,592921,True,,225146,55157,196700,1,False,False,0,0,True,True,47.83,47.97,44.89,119.57,119.92,112.23,6.56,9.84,482.44,483.74,478.55,1.08,1.29,143.91,242,0.902,0.802,0,18.389,8.786,20.38,18.389,3610.2,2707.6,1550,2329.2,0.2,False,55.9,71.5,15.6,False,1,65.1,-4.11,-3.79,-0.24,0.041,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116000552_0024,2024-01-16T00:05:52.028146Z,2024-01-16T00:15:09.641146Z,557613,True,,211383,55845,187979,1,False,False,0,0,True,True,51.81,47.86,47.53,129.52,119.65,118.83,8.72,13.07,483.07,483.79,477.35,1.34,1.61,155.43,276,0.897,0.797,0,18.02,8.86,20.08,18.02,3573.6,2680.2,1527,2340.3,1.8,False,55.8,70.5,14.6,False,1,70.5,2.47,-4.63,-1.49,0.143,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116003322_0025,2024-01-16T00:33:22.752120Z,2024-01-16T00:42:34.983120Z,552231,True,,210245,58270,171333,1,False,False,0,0,True,True,45.93,43.93,46.26,114.81,109.82,115.64,5.13,7.69,474.59,488.44,484.41,2.87,3.44,138.77,216,0.87,0.77,0,15.715,8.911,18.066,15.715,3598.0,2698.5,1727,2083.4,2.7,False,60.0,74.5,14.5,False,1,70.0,-3.72,-2.16,-0.82,0.129,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116005517_0026,2024-01-16T00:55:17.176991Z,2024-01-16T01:05:14.743991Z,597567,True,,227213,60011,196883,1,False,False,0,0,True,True,47.48,46.24,46.73,118.7,115.61,116.83,2.64,3.96,477.04,475.68,480.24,0.96,1.15,142.44,189,0.875,0.775,0,17.736,9.828,20.277,17.736,3649.7,2737.3,1505,2425.1,2.0,False,55.3,71.0,15.7,False,1,80.2,3.66,3.17,-1.45,0.034,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116011936_0027,2024-01-16T01:19:36.760075Z,2024-01-16T01:30:19.459075Z,642699,True,,252323,66135,209888,1,False,False,0,0,True,True,45.91,42.78,43.31,114.76,106.95,108.28,7.1,10.65,480.24,481.3,475.48,1.22,1.46,137.72,213,0.814,0.714,0,16.789,11.993,20.633,16.789,3600.6,2700.5,2010,1791.3,2.4,False,55.7,72.6,16.9,False,1,68.1,-3.66,-4.37,2.94,0.064,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116014705_0028,2024-01-16T01:47:05.531010Z,2024-01-16T01:56:48.352010Z,582821,True,,227003,59825,190171,1,False,False,0,0,True,True,55.5,49.93,47.59,138.74,124.82,118.96,15.51,23.27,481.86,476.98,480.43,1.02,1.22,166.49,299,0.81,0.71,0,17.623,12.767,21.762,17.623,3628.2,2721.1,2278,1592.7,4.0,False,56.7,72.0,15.3,False,1,65.6,-3.36,-3.36,1.89,0.133,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116020841_0029,2024-01-16T02:08:41.878743Z,2024-01-16T02:18:15.171743Z,573293,True,,222589,56829,197125,1,False,False,0,0,True,True,42.58,47.14,48.25,106.46,117.85,120.63,12.32,18.48,488.38,481.63,478.9,1.96,2.35,144.75,202,0.896,0.796,0,17.522,8.701,19.564,17.522,3612.4,2709.3,2446,1476.9,2.2,False,59.4,74.5,15.0,False,1,74.9,-3.33,3.79,-0.03,0.148,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116023059_0030,2024-01-16T02:30:59.785609Z,2024-01-16T02:40:14.759609Z,554974,True,,215030,57517,182044,1,False,False,0,0,True,True,49.36,48.04,53.72,123.4,120.1,134.29,11.27,16.91,477.97,481.3,468.78,2.63,3.16,161.15,258,0.818,0.718,0,16.601,11.684,20.3,16.601,3589.7,2692.3,1656,2167.7,2.7,False,58.4,72.9,14.6,False,1,71.0,-0.91,2.72,-2.93,0.12,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116025251_0031,2024-01-16T02:52:51.578123Z,2024-01-16T03:03:08.437123Z,616859,True,,236197,61461,206737,1,False,False,0,0,True,True,43.16,46.38,50.48,107.89,115.95,126.2,15.69,23.54,481.06,484.34,475.32,1.88,2.25,151.44,249,0.897,0.797,0,18.872,9.307,21.042,18.872,3629.0,2721.8,2304,1575.1,3.5,False,57.5,73.7,16.2,False,1,73.3,-0.76,2.36,2.61,0.185,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116031348_0032,2024-01-16T03:13:48.293282Z,2024-01-16T03:22:55.500282Z,547207,True,,208217,56909,173484,1,False,False,0,0,True,True,52.78,51.41,46.45,131.96,128.52,116.12,12.62,18.93,484.26,468.4,478.85,3.32,3.99,158.35,240,0.85,0.75,0,17.188,10.642,20.216,17.188,3572.5,2679.3,2375,1504.2,4.6,False,58.3,72.6,14.4,False,1,66.5,0.78,-3.34,-2.8,0.062,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116033911_0033,2024-01-16T03:39:11.605904Z,2024-01-16T03:48:32.830904Z,561225,True,,209989,57013,186678,1,False,False,0,0,True,True,51.52,48.72,44.18,128.79,121.81,110.44,15.25,22.87,480.74,474.7,474.41,1.33,1.59,154.55,272,0.885,0.785,0,17.463,9.188,19.733,17.463,3584.9,2688.7,2169,1652.8,1.0,False,56.9,71.7,14.7,False,1,72.5,-4.34,2.76,-0.28,0.105,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116035902_0034,2024-01-16T03:59:02.408906Z,2024-01-16T04:08:27.505906Z,565097,True,,208849,56917,189343,2,False,False,0,0,True,True,47.43,43.97,45.86,118.58,109.93,114.65,7.56,11.34,474.45,488.76,484.68,2.97,3.56,142.29,214,0.86,0.76,0,16.032,9.505,18.638,16.032,3575.4,2681.5,2482,1440.5,3.4,False,59.5,74.4,14.8,False,1,62.1,-3.96,3.0,-1.93,0.131,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116041530_0035,2024-01-16T04:15:30.452343Z,2024-01-16T04:25:36.267343Z,605815,True,,225507,61050,202697,1,False,False,0,0,True,True,44.95,50.04,49.97,112.38,125.11,124.94,10.54,15.8,478.45,481.63,473.74,1.65,1.98,150.13,231,0.894,0.794,0,19.03,9.524,21.28,19.03,3631.7,2723.8,2415,1503.8,1.7,False,56.1,72.0,15.9,False,1,62.4,3.31,-1.55,1.64,0.073,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116044314_0036,2024-01-16T04:43:14.556723Z,2024-01-16T04:53:28.612723Z,614056,True,,234173,59453,204074,1,False,False,0,0,True,True,49.2,55.03,39.84,122.99,137.58,99.61,31.63,47.44,484.35,485.29,473.21,2.51,3.01,165.09,171,0.888,0.788,0,19.28,9.958,21.7,19.28,3648.4,2736.3,1941,1879.7,4.5,False,56.1,72.2,16.1,False,1,74.9,1.83,3.23,0.18,0.163,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116050456_0037,2024-01-16T05:04:56.665292Z,2024-01-16T05:14:35.995292Z,579330,True,,207254,56810,194198,1,False,False,0,0,True,True,45.5,45.47,45.48,113.75,113.67,113.69,0.07,0.11,484.22,479.51,491.49,2.47,2.96,136.5,287,0.896,0.796,0,17.376,8.59,19.384,17.376,3591.9,2693.9,1975,1818.7,3.9,False,53.3,68.5,15.2,False,1,80.0,-3.16,-4.1,1.63,0.014,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116053149_0038,2024-01-16T05:31:49.815863Z,2024-01-16T05:41:01.527863Z,551712,True,,210802,56035,186149,1,False,False,0,0,True,True,48.59,42.93,47.82,121.48,107.33,119.56,12.19,18.29,473.84,480.73,481.18,1.53,1.84,145.78,258,0.82,0.72,0,15.137,10.547,18.449,15.137,3612.3,2709.2,1949,1853.4,0.5,False,57.5,71.9,14.5,False,1,63.2,2.28,-0.05,1.13,0.087,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116054812_0039,2024-01-16T05:48:12.857937Z,2024-01-16T05:58:13.229937Z,600372,True,,233004,61280,191772,1,False,False,0,0,True,True,44.24,47.52,51.39,110.59,118.79,128.47,14.99,22.48,480.6,484.08,483.09,0.72,0.87,154.17,267,0.869,0.769,0,18.171,10.36,20.917,18.171,3648.1,2736.0,1965,1856.5,2.4,False,57.9,73.6,15.8,False,1,65.2,0.68,4.15,-2.8,0.139,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116060616_0040,2024-01-16T06:06:16.525925Z,2024-01-16T06:16:04.155925Z,587630,True,,228944,58602,193059,1,False,False,0,0,True,True,50.85,48.48,46.81,127.14,121.21,117.02,8.31,12.46,477.83,478.45,481.11,0.69,0.82,152.56,257,0.862,0.762,0,17.919,10.526,20.782,17.919,3630.4,2722.8,2015,1801.7,4.0,False,56.0,71.5,15.4,False,1,67.8,1.26,3.86,0.7,0.047,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116061929_0041,2024-01-16T06:19:29.044722Z,2024-01-16T06:29:31.845722Z,602801,True,,229299,62726,197014,1,False,False,0,0,True,True,55.09,47.11,46.86,137.73,117.77,117.15,16.57,24.86,487.27,487.9,477.39,2.17,2.61,165.28,152,0.852,0.752,0,18.885,11.618,22.172,18.885,3579.7,2684.8,1823,1963.6,3.6,False,53.8,69.6,15.8,False,1,79.0,-4.55,-3.91,-0.65,0.025,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116180018_0042,2024-01-16T18:00:18.435973Z,2024-01-16T18:10:18.933973Z,600498,True,,233110,59621,199418,1,False,False,0,0,True,True,50.22,51.7,53.06,125.55,129.24,132.65,5.5,8.24,472.15,480.37,477.41,1.72,2.07,159.17,152,0.888,0.788,0,19.751,10.249,22.252,19.751,3630.1,2722.6,1553,2337.5,4.8,False,57.8,73.6,15.8,False,1,78.5,5.78,4.99,-1.96,0.119,False,50,2.3.1,1.0,high
1.0.0,cycle_summary,BALER-001,SITE-TX-001,"Houston, TX",baler,BALER-001_CYCLE_20240116182612_0043,2024-01-16T18:26:12.337218Z,2024-01-16T18:36:04.045218Z,591708,True,,222966,57760,193224,1,False,False,0,0,True,True,52.84,53.58,46.36,132.09,133.96,115.89,14.19,21.28,478.06,481.43,481.67,0.75,0.9,160.75,189,0.898,0.798,0,19.657,9.623,21.886,19.657,3623.5,2717.6,1725,2100.6,2.0,False,56.2,71.8,15.5,False,1,75.5,4.49,3.16,-1.68,0.205,False,50,2.3.1,1.0,high
